REF_DATE,North American Industry Classification System (NAICS),Sales,Adjustments,Release,UOM,UOM_ID,SCALAR_FACTOR,VALUE
2017-01,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1412197
2017-02,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1467089
2017-03,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1552507
2017-04,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1523658
2017-05,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1541837
2017-06,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1519919
2017-07,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1507499
2017-08,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1516482
2017-09,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1509907
2017-10,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1495244
2017-11,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1650979
2017-12,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1625456
2018-01,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1721178
2018-02,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1503763
2018-03,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1500065
2018-04,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1574123
2018-05,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1523371
2018-06,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1526434
2018-07,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1558158
2018-08,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1543004
2018-09,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1537993
2018-10,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1593181
2018-11,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1550237
2018-12,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1498277
2019-01,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1332610
2019-02,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1312822
2019-03,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1407275
2019-04,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1438591
2019-05,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1457969
2019-06,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1441497
2019-07,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1433953
2019-08,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1455289
2019-09,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1428386
2019-10,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1414915
2019-11,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1425842
2019-12,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1474300
2020-01,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1429124
2020-02,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1384041
2020-03,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1356030
2020-04,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1316222
2020-05,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1428742
2020-06,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1533477
2020-07,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1604959
2020-08,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1619107
2020-09,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1656310
2020-10,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1637719
2020-11,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1721043
2020-12,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1620535
2021-01,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1576499
2021-02,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1644680
2021-03,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1667107
2021-04,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1614395
2021-05,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1598111
2021-06,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1589958
2021-07,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1613134
2021-08,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1591927
2021-09,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1585707
2021-10,Electronics and appliances retailers [4492],Total retail sales,Seasonally adjusted,"May 24, 2024",Dollars,81,thousands,1607525
