Quarter,Category,SubCategory,Sales
1st quarter 2024(p),"Total Store and
Non-store
Sales",Total Retail Trade,1718447
1st quarter 2024(p),"Total
E-commerce",Total Retail Trade,268118
1st quarter 2024(p),"Total Store and
Non-store
Sales","Motor vehicle
and parts",385042
1st quarter 2024(p),"Total
E-commerce","Motor vehicle
and parts",14194
1st quarter 2024(p),"Total Store and
Non-store
Sales","Furniture, building materials,
and electronics",181700
1st quarter 2024(p),"Total
E-commerce","Furniture, building materials,
and electronics",25793
1st quarter 2024(p),"Total
E-commerce","Furniture and
home
furnishings",3775
1st quarter 2024(p),"Total
E-commerce",Electronics and appliance,13270
1st quarter 2024(p),"Total
E-commerce","Building materials,
garden equipment
and supplies",8748
1st quarter 2024(p),"Total Store and
Non-store
Sales","Clothing and
general merchandise",317453
1st quarter 2024(p),"Total
E-commerce","Clothing and
general merchandise",46716
1st quarter 2024(p),"Total
E-commerce","Clothing and
clothing
accessories",15088
1st quarter 2024(p),"Total
E-commerce","General
merchandise",31628
1st quarter 2024(p),"Total Store and
Non-store
Sales",All other,583939
1st quarter 2024(p),"Total
E-commerce",All other,18747
1st quarter 2024(p),"Total
E-commerce","Food and
beverage",8353
1st quarter 2024(p),"Total
E-commerce","Health and
personal
care",2250
1st quarter 2024(p),"Total
E-commerce","Sporting goods, hobby
musical instrument,
and books",3062
1st quarter 2024(p),"Total
E-commerce","Miscellaneous
including gasoline
stations",5082
1st quarter 2024(p),"Total Store and
Non-store
Sales",Nonstore retailers,250313
1st quarter 2024(p),"Total
E-commerce",Nonstore retailers,162668
4th quarter 2023,"Total Store and
Non-store
Sales",Total Retail Trade,1892581
4th quarter 2023,"Total
E-commerce",Total Retail Trade,322862
4th quarter 2023,"Total Store and
Non-store
Sales","Motor vehicle
and parts",383316
4th quarter 2023,"Total
E-commerce","Motor vehicle
and parts",13913
4th quarter 2023,"Total Store and
Non-store
Sales","Furniture, building materials,
and electronics",207990
4th quarter 2023,"Total
E-commerce","Furniture, building materials,
and electronics",31458
4th quarter 2023,"Total
E-commerce","Furniture and
home
furnishings",4614
4th quarter 2023,"Total
E-commerce",Electronics and appliance,16732
4th quarter 2023,"Total
E-commerce","Building materials,
garden equipment
and supplies",10112
4th quarter 2023,"Total Store and
Non-store
Sales","Clothing and
general merchandise",393257
4th quarter 2023,"Total
E-commerce","Clothing and
general merchandise",62779
4th quarter 2023,"Total
E-commerce","Clothing and
clothing
accessories",23310
4th quarter 2023,"Total
E-commerce","General
merchandise",39469
4th quarter 2023,"Total Store and
Non-store
Sales",All other,631361
4th quarter 2023,"Total
E-commerce",All other,21869
